metal,full_stack,ilastik_stack,nuclear,spillover,counterstain
80ArAr,1,0,0,0,0
100Ru,1,0,0,0,0
131Xe,1,0,0,0,0
134Xe,1,0,0,0,0
141Pr,1,0,0,1,1
142Nd,1,0,0,1,1
143Nd,1,0,0,1,1
144Sm,1,0,0,1,1
145Nd,1,0,0,1,1
146Nd,1,0,0,1,1
147Sm,1,0,0,1,1
148Nd,1,0,0,1,1
149Sm,1,0,0,1,1
150Sm,1,0,0,1,1
150Nd,1,0,0,1,1
151Eu,1,0,0,1,1
152Sm,1,0,0,1,1
153Eu,1,0,0,1,1
154Sm,1,0,0,1,1
155Gd,1,0,0,1,1
156Gd,1,0,0,1,1
158Gd,1,0,0,1,1
159Tb,1,0,0,1,1
160Gd,1,0,0,1,1
161Dy,1,0,0,1,1
162Dy,1,0,0,1,1
163Dy,1,0,0,1,1
164Dy,1,0,0,1,1
165Ho,1,0,0,1,1
166Er,1,0,0,1,1
167Er,1,0,0,1,1
168Er,1,0,0,1,1
169Tm,1,0,0,1,1
170Er,1,0,0,1,1
171Yb,1,0,0,1,1
172Yb,1,0,0,1,1
173Yb,1,0,0,1,1
174Yb,1,0,0,1,1
175Lu,1,0,0,1,1
176Yb,1,0,0,1,1
191Ir,1,0,1,0,0
193Ir,1,0,1,0,0
