# Explicit packages in environment at /opt/conda/envs/rapids in deepimcyto_3 Docker container:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                      1_llvm    conda-forge
abseil-cpp                20211102.0           h27087fc_1    conda-forge
absl-py                   1.2.0                    pypi_0    pypi
aiohttp                   3.8.1            py38h0a891b7_1    conda-forge
aiosignal                 1.2.0              pyhd8ed1ab_0    conda-forge
alphashape                1.3.1                    pypi_0    pypi
alsa-lib                  1.2.3                h516909a_0    conda-forge
anndata                   0.8.0                    pypi_0    pypi
anyio                     3.5.0            py38h578d9bd_0    conda-forge
appdirs                   1.4.4              pyh9f0ad1d_0    conda-forge
argon2-cffi               21.3.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      21.2.0           py38h497a2fe_1    conda-forge
arrow-cpp                 5.0.0           py38h96de00c_29_cuda    conda-forge
arrow-cpp-proc            3.0.0                      cuda    conda-forge
asciitree                 0.3.3                    pypi_0    pypi
asgiref                   3.5.0              pyhd8ed1ab_0    conda-forge
asttokens                 2.0.5              pyhd8ed1ab_0    conda-forge
astunparse                1.6.3                    pypi_0    pypi
async-timeout             4.0.2              pyhd8ed1ab_0    conda-forge
attrs                     21.4.0             pyhd8ed1ab_0    conda-forge
aws-c-cal                 0.5.11               h95a6274_0    conda-forge
aws-c-common              0.6.2                h7f98852_0    conda-forge
aws-c-event-stream        0.2.7               h3541f99_13    conda-forge
aws-c-io                  0.10.5               hfb6a706_0    conda-forge
aws-checksums             0.1.11               ha31a3da_7    conda-forge
aws-sdk-cpp               1.8.186              hb4091e7_3    conda-forge
backcall                  0.2.0              pyh9f0ad1d_0    conda-forge
backports                 1.0                        py_2    conda-forge
backports.functools_lru_cache 1.6.4              pyhd8ed1ab_0    conda-forge
backports.zoneinfo        0.2.1            py38h497a2fe_4    conda-forge
beautifulsoup4            4.10.0             pyha770c72_0    conda-forge
bleach                    4.1.0              pyhd8ed1ab_0    conda-forge
blosc                     1.21.0               h9c3ff4c_0    conda-forge
bokeh                     2.4.0            py38h578d9bd_0    conda-forge
boost                     1.74.0           py38h2b96118_5    conda-forge
boost-cpp                 1.74.0               h312852a_4    conda-forge
brotli                    1.0.9                h166bdaf_7    conda-forge
brotli-bin                1.0.9                h166bdaf_7    conda-forge
brotlipy                  0.7.0           py38h0a891b7_1004    conda-forge
brunsli                   0.1                  h9c3ff4c_0    conda-forge
bzip2                     1.0.8                h7f98852_4    conda-forge
c-ares                    1.18.1               h7f98852_0    conda-forge
c-blosc2                  2.0.4                h5f21a17_1    conda-forge
ca-certificates           2022.6.15            ha878542_0    conda-forge
cachetools                5.0.0              pyhd8ed1ab_0    conda-forge
cairo                     1.16.0            h6cf1ce9_1008    conda-forge
certifi                   2022.6.15        py38h578d9bd_0    conda-forge
cffi                      1.15.0           py38h3931269_0    conda-forge
cfitsio                   3.470                hb418390_7    conda-forge
charls                    2.2.0                h9c3ff4c_0    conda-forge
charset-normalizer        2.0.12             pyhd8ed1ab_0    conda-forge
click                     8.1.2            py38h578d9bd_0    conda-forge
click-log                 0.4.0                    pypi_0    pypi
click-plugins             1.1.1                      py_0    conda-forge
cligj                     0.7.2              pyhd8ed1ab_1    conda-forge
cloudpickle               2.0.0              pyhd8ed1ab_0    conda-forge
colorama                  0.4.4              pyh9f0ad1d_0    conda-forge
colorcet                  3.0.0              pyhd8ed1ab_0    conda-forge
cryptography              36.0.2           py38h2b5fc30_1    conda-forge
cucim                     22.02.00        cuda_11_py38_g29bfe6f_0    rapidsai
cuda-python               11.6.1           py38h3fd9d12_0    nvidia
cudatoolkit               11.0.221             h6bb024c_0    nvidia
cudf                      22.02.00        cuda_11_py38_g774d859fef_0    rapidsai
cudf_kafka                22.02.00        py38_g774d859fef_0    rapidsai
cudnn                     8.4.1.50             hed8a83a_0    conda-forge
cugraph                   22.02.00        cuda11_py38_gf391a5c3_0    rapidsai
cuml                      22.02.00        cuda11_py38_g679e4fa21_0    rapidsai
cupy                      9.6.0            py38h57017e2_0    conda-forge
curl                      7.82.0               h7bff187_0    conda-forge
cusignal                  22.02.00        py38_g951b38c_0    rapidsai
cuspatial                 22.02.00        py38_gf5b48fc_0    rapidsai
custreamz                 22.02.00        py38_g774d859fef_0    rapidsai
cuxfilter                 22.02.00        py38_g929e293_0    rapidsai
cycler                    0.11.0             pyhd8ed1ab_0    conda-forge
cyrus-sasl                2.1.27               h230043b_5    conda-forge
cytoolz                   0.11.2           py38h0a891b7_2    conda-forge
dask                      2022.1.0           pyhd8ed1ab_0    conda-forge
dask-core                 2022.1.0           pyhd8ed1ab_0    conda-forge
dask-cuda                 22.02.00                 py38_0    rapidsai
dask-cudf                 22.02.00        cuda_11_py38_g774d859fef_0    rapidsai
dask-image                2021.12.0                pypi_0    pypi
dask-sql                  2021.12.0a220124 py38g2ca1070_20    dask/label/dev
datashader                0.13.0             pyh6c4a22f_0    conda-forge
datashape                 0.5.4                      py_1    conda-forge
debugpy                   1.5.1            py38h709712a_0    conda-forge
decorator                 5.1.1              pyhd8ed1ab_0    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
descartes                 1.1.0                    pypi_0    pypi
distributed               2022.1.0         py38h578d9bd_0    conda-forge
